Sample	Filename	sequence_length_distribution	overrepresented_sequences	sequence_duplication_levels	per_sequence_gc_content	File type	per_base_n_content	per_tile_sequence_quality	Encoding	adapter_content	total_deduplicated_percentage	kmer_content	Sequences flagged as poor quality	per_base_sequence_content	avg_sequence_length	Total Sequences	basic_statistics	per_base_sequence_quality	Sequence length	%GC	per_sequence_quality_scores
30-Nextera-10ng-2_S6_L004_R2_001	30-Nextera-10ng-2_S6_L004_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	pass	91.47904799239782	fail	0.0	fail	151.0	48558445.0	pass	pass	151.0	40.0	pass
31-Nextera-10ng-3_S7_L001_R1_001	31-Nextera-10ng-3_S7_L001_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	91.40389209892884	fail	0.0	fail	151.0	42621073.0	pass	pass	151.0	40.0	pass
31-Nextera-10ng-3_S7_L001_R2_001	31-Nextera-10ng-3_S7_L001_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	92.97579143225035	fail	0.0	fail	151.0	42621073.0	pass	pass	151.0	41.0	pass
31-Nextera-10ng-3_S7_L002_R1_001	31-Nextera-10ng-3_S7_L002_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	pass	91.44786495639366	fail	0.0	fail	151.0	42800647.0	pass	pass	151.0	40.0	pass
31-Nextera-10ng-3_S7_L002_R2_001	31-Nextera-10ng-3_S7_L002_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	93.58167805335036	fail	0.0	fail	151.0	42800647.0	pass	pass	151.0	41.0	pass
31-Nextera-10ng-3_S7_L003_R1_001	31-Nextera-10ng-3_S7_L003_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	fail	Sanger / Illumina 1.9	pass	91.38043893493165	fail	0.0	fail	151.0	43201831.0	pass	pass	151.0	40.0	pass
31-Nextera-10ng-3_S7_L003_R2_001	31-Nextera-10ng-3_S7_L003_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	94.85787116551568	fail	0.0	fail	151.0	43201831.0	pass	pass	151.0	41.0	pass
31-Nextera-10ng-3_S7_L004_R1_001	31-Nextera-10ng-3_S7_L004_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	pass	91.39435840573913	fail	0.0	fail	151.0	42259138.0	pass	pass	151.0	41.0	pass
31-Nextera-10ng-3_S7_L004_R2_001	31-Nextera-10ng-3_S7_L004_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	pass	92.4016214930683	fail	0.0	fail	151.0	42259138.0	pass	pass	151.0	41.0	pass
32-Nextera-10ng-4_S8_L001_R1_001	32-Nextera-10ng-4_S8_L001_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	90.91368207522964	fail	0.0	fail	151.0	46342402.0	pass	pass	151.0	40.0	pass
32-Nextera-10ng-4_S8_L001_R2_001	32-Nextera-10ng-4_S8_L001_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	91.94235865747494	fail	0.0	fail	151.0	46342402.0	pass	pass	151.0	41.0	pass
32-Nextera-10ng-4_S8_L002_R1_001	32-Nextera-10ng-4_S8_L002_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	pass	91.05796676874294	fail	0.0	fail	151.0	46257888.0	pass	pass	151.0	40.0	pass
32-Nextera-10ng-4_S8_L002_R2_001	32-Nextera-10ng-4_S8_L002_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	92.7603671205039	fail	0.0	fail	151.0	46257888.0	pass	pass	151.0	41.0	pass
32-Nextera-10ng-4_S8_L003_R1_001	32-Nextera-10ng-4_S8_L003_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	fail	Sanger / Illumina 1.9	pass	91.0369593396928	fail	0.0	fail	151.0	46482803.0	pass	pass	151.0	40.0	pass
32-Nextera-10ng-4_S8_L003_R2_001	32-Nextera-10ng-4_S8_L003_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	94.2680859616935	fail	0.0	fail	151.0	46482803.0	pass	pass	151.0	41.0	pass
32-Nextera-10ng-4_S8_L004_R1_001	32-Nextera-10ng-4_S8_L004_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	pass	90.8880038084448	fail	0.0	fail	151.0	47031308.0	pass	pass	151.0	41.0	pass
32-Nextera-10ng-4_S8_L004_R2_001	32-Nextera-10ng-4_S8_L004_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	pass	91.41201192248603	fail	0.0	fail	151.0	47031308.0	pass	pass	151.0	41.0	pass
33-NEB-100ng-1_S1_L001_R1_001	33-NEB-100ng-1_S1_L001_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	fail	Sanger / Illumina 1.9	fail	92.5010944571311	fail	0.0	warn	151.0	62481090.0	pass	pass	151.0	42.0	pass
33-NEB-100ng-1_S1_L001_R2_001	33-NEB-100ng-1_S1_L001_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	93.59809177750661	fail	0.0	warn	151.0	62481090.0	pass	pass	151.0	42.0	pass
33-NEB-100ng-1_S1_L002_R1_001	33-NEB-100ng-1_S1_L002_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	92.50932827169417	fail	0.0	warn	151.0	61812287.0	pass	pass	151.0	42.0	pass
33-NEB-100ng-1_S1_L002_R2_001	33-NEB-100ng-1_S1_L002_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	93.69235222412601	fail	0.0	warn	151.0	61812287.0	pass	pass	151.0	42.0	pass
33-NEB-100ng-1_S1_L003_R1_001	33-NEB-100ng-1_S1_L003_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	92.70789862347894	fail	0.0	warn	151.0	63583479.0	pass	pass	151.0	42.0	pass
33-NEB-100ng-1_S1_L003_R2_001	33-NEB-100ng-1_S1_L003_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	93.29329900375961	fail	0.0	warn	151.0	63583479.0	pass	pass	151.0	42.0	pass
33-NEB-100ng-1_S1_L004_R1_001	33-NEB-100ng-1_S1_L004_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	92.24783995864793	fail	0.0	warn	151.0	63292860.0	pass	pass	151.0	42.0	pass
33-NEB-100ng-1_S1_L004_R2_001	33-NEB-100ng-1_S1_L004_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	92.76309186286832	fail	0.0	warn	151.0	63292860.0	pass	pass	151.0	42.0	pass
34-NEB-100ng-2_S2_L001_R1_001	34-NEB-100ng-2_S2_L001_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	fail	Sanger / Illumina 1.9	fail	92.77034983327714	fail	0.0	warn	151.0	49056457.0	pass	pass	151.0	42.0	pass
34-NEB-100ng-2_S2_L001_R2_001	34-NEB-100ng-2_S2_L001_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	94.23032719479106	fail	0.0	warn	151.0	49056457.0	pass	pass	151.0	42.0	pass
34-NEB-100ng-2_S2_L002_R1_001	34-NEB-100ng-2_S2_L002_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	92.88206730757224	fail	0.0	warn	151.0	48699062.0	pass	pass	151.0	42.0	pass
34-NEB-100ng-2_S2_L002_R2_001	34-NEB-100ng-2_S2_L002_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	94.22278683518002	fail	0.0	warn	151.0	48699062.0	pass	pass	151.0	42.0	pass
34-NEB-100ng-2_S2_L003_R1_001	34-NEB-100ng-2_S2_L003_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	92.90388907451879	fail	0.0	warn	151.0	49811733.0	pass	pass	151.0	42.0	pass
34-NEB-100ng-2_S2_L003_R2_001	34-NEB-100ng-2_S2_L003_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	93.77802879255962	fail	0.0	warn	151.0	49811733.0	pass	pass	151.0	42.0	pass
34-NEB-100ng-2_S2_L004_R1_001	34-NEB-100ng-2_S2_L004_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	92.24847517424396	fail	0.0	warn	151.0	49712584.0	pass	pass	151.0	42.0	pass
34-NEB-100ng-2_S2_L004_R2_001	34-NEB-100ng-2_S2_L004_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	92.78841127527654	fail	0.0	warn	151.0	49712584.0	pass	pass	151.0	42.0	pass
35-NEB-100ng-3_S3_L001_R1_001	35-NEB-100ng-3_S3_L001_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	fail	Sanger / Illumina 1.9	fail	92.7525904924405	fail	0.0	warn	151.0	46768704.0	pass	pass	151.0	42.0	pass
35-NEB-100ng-3_S3_L001_R2_001	35-NEB-100ng-3_S3_L001_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	94.37206485122238	fail	0.0	warn	151.0	46768704.0	pass	pass	151.0	42.0	pass
35-NEB-100ng-3_S3_L002_R1_001	35-NEB-100ng-3_S3_L002_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	93.03099024852995	fail	0.0	warn	151.0	46373198.0	pass	pass	151.0	42.0	pass
35-NEB-100ng-3_S3_L002_R2_001	35-NEB-100ng-3_S3_L002_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	94.55487320665806	fail	0.0	warn	151.0	46373198.0	pass	pass	151.0	42.0	pass
35-NEB-100ng-3_S3_L003_R1_001	35-NEB-100ng-3_S3_L003_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	93.08160234372545	fail	0.0	warn	151.0	47501340.0	pass	pass	151.0	42.0	pass
35-NEB-100ng-3_S3_L003_R2_001	35-NEB-100ng-3_S3_L003_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	94.06438184129398	fail	0.0	warn	151.0	47501340.0	pass	pass	151.0	42.0	pass
35-NEB-100ng-3_S3_L004_R1_001	35-NEB-100ng-3_S3_L004_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	92.33707820193233	fail	0.0	warn	151.0	47263983.0	pass	pass	151.0	42.0	pass
35-NEB-100ng-3_S3_L004_R2_001	35-NEB-100ng-3_S3_L004_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	92.92304311659484	fail	0.0	warn	151.0	47263983.0	pass	pass	151.0	42.0	pass
36-NEB-100ng-4_S4_L001_R1_001	36-NEB-100ng-4_S4_L001_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	fail	Sanger / Illumina 1.9	fail	92.82399882950362	warn	0.0	warn	151.0	44842216.0	pass	pass	151.0	42.0	pass
36-NEB-100ng-4_S4_L001_R2_001	36-NEB-100ng-4_S4_L001_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	94.56353868199395	fail	0.0	warn	151.0	44842216.0	pass	pass	151.0	42.0	pass
36-NEB-100ng-4_S4_L002_R1_001	36-NEB-100ng-4_S4_L002_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	92.95539084916888	warn	0.0	warn	151.0	44458808.0	pass	pass	151.0	42.0	pass
36-NEB-100ng-4_S4_L002_R2_001	36-NEB-100ng-4_S4_L002_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	94.49163351047265	fail	0.0	warn	151.0	44458808.0	pass	pass	151.0	42.0	pass
36-NEB-100ng-4_S4_L003_R1_001	36-NEB-100ng-4_S4_L003_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	93.11073465523725	fail	0.0	warn	151.0	45590587.0	pass	pass	151.0	42.0	pass
36-NEB-100ng-4_S4_L003_R2_001	36-NEB-100ng-4_S4_L003_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	93.9666231220632	fail	0.0	warn	151.0	45590587.0	pass	pass	151.0	42.0	pass
36-NEB-100ng-4_S4_L004_R1_001	36-NEB-100ng-4_S4_L004_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	92.38822065399489	fail	0.0	warn	151.0	45454135.0	pass	pass	151.0	42.0	pass
36-NEB-100ng-4_S4_L004_R2_001	36-NEB-100ng-4_S4_L004_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	92.89326490966005	fail	0.0	warn	151.0	45454135.0	pass	pass	151.0	42.0	pass
37-NEB-10ng-1_S5_L001_R1_001	37-NEB-10ng-1_S5_L001_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	fail	Sanger / Illumina 1.9	fail	92.6623255114283	fail	0.0	warn	151.0	45548767.0	pass	pass	151.0	42.0	pass
37-NEB-10ng-1_S5_L001_R2_001	37-NEB-10ng-1_S5_L001_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	94.59426845292626	fail	0.0	warn	151.0	45548767.0	pass	pass	151.0	42.0	pass
37-NEB-10ng-1_S5_L002_R1_001	37-NEB-10ng-1_S5_L002_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	92.8346168244343	fail	0.0	warn	151.0	45135910.0	pass	pass	151.0	42.0	pass
37-NEB-10ng-1_S5_L002_R2_001	37-NEB-10ng-1_S5_L002_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	94.7151917407772	fail	0.0	warn	151.0	45135910.0	pass	pass	151.0	42.0	pass
37-NEB-10ng-1_S5_L003_R1_001	37-NEB-10ng-1_S5_L003_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	92.70354530029165	fail	0.0	warn	151.0	46413280.0	pass	pass	151.0	42.0	pass
37-NEB-10ng-1_S5_L003_R2_001	37-NEB-10ng-1_S5_L003_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	93.93963932345231	fail	0.0	warn	151.0	46413280.0	pass	pass	151.0	42.0	pass
37-NEB-10ng-1_S5_L004_R1_001	37-NEB-10ng-1_S5_L004_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	92.21223011954572	fail	0.0	warn	151.0	45920009.0	pass	pass	151.0	42.0	pass
37-NEB-10ng-1_S5_L004_R2_001	37-NEB-10ng-1_S5_L004_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	93.01148055429384	fail	0.0	warn	151.0	45920009.0	pass	pass	151.0	42.0	pass
38-NEB-10ng-2_S6_L001_R1_001	38-NEB-10ng-2_S6_L001_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	fail	Sanger / Illumina 1.9	fail	92.68024678795838	fail	0.0	warn	151.0	48592672.0	pass	pass	151.0	42.0	pass
38-NEB-10ng-2_S6_L001_R2_001	38-NEB-10ng-2_S6_L001_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	94.39004454547005	fail	0.0	warn	151.0	48592672.0	pass	pass	151.0	43.0	pass
38-NEB-10ng-2_S6_L002_R1_001	38-NEB-10ng-2_S6_L002_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	92.8280503298495	fail	0.0	warn	151.0	48051559.0	pass	pass	151.0	42.0	pass
38-NEB-10ng-2_S6_L002_R2_001	38-NEB-10ng-2_S6_L002_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	94.37058624165925	fail	0.0	warn	151.0	48051559.0	pass	pass	151.0	43.0	pass
38-NEB-10ng-2_S6_L003_R1_001	38-NEB-10ng-2_S6_L003_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	92.969918989098	fail	0.0	warn	151.0	49761450.0	pass	pass	151.0	42.0	pass
38-NEB-10ng-2_S6_L003_R2_001	38-NEB-10ng-2_S6_L003_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	93.9514141320575	fail	0.0	warn	151.0	49761450.0	pass	pass	151.0	43.0	pass
38-NEB-10ng-2_S6_L004_R1_001	38-NEB-10ng-2_S6_L004_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	92.3113445956411	fail	0.0	warn	151.0	49103170.0	pass	pass	151.0	42.0	pass
38-NEB-10ng-2_S6_L004_R2_001	38-NEB-10ng-2_S6_L004_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	92.96512252116254	fail	0.0	warn	151.0	49103170.0	pass	pass	151.0	43.0	pass
39-NEB-10ng-3_S7_L001_R1_001	39-NEB-10ng-3_S7_L001_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	fail	Sanger / Illumina 1.9	fail	92.42548078436971	fail	0.0	warn	151.0	57119502.0	pass	pass	151.0	42.0	pass
39-NEB-10ng-3_S7_L001_R2_001	39-NEB-10ng-3_S7_L001_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	93.8909509468175	fail	0.0	warn	151.0	57119502.0	pass	pass	151.0	42.0	pass
39-NEB-10ng-3_S7_L002_R1_001	39-NEB-10ng-3_S7_L002_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	92.4553078400052	fail	0.0	warn	151.0	56618325.0	pass	pass	151.0	42.0	pass
39-NEB-10ng-3_S7_L002_R2_001	39-NEB-10ng-3_S7_L002_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	93.91600654755162	fail	0.0	warn	151.0	56618325.0	pass	pass	151.0	42.0	pass
39-NEB-10ng-3_S7_L003_R1_001	39-NEB-10ng-3_S7_L003_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	92.59290171535902	fail	0.0	warn	151.0	58371756.0	pass	pass	151.0	42.0	pass
39-NEB-10ng-3_S7_L003_R2_001	39-NEB-10ng-3_S7_L003_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	93.54465433354387	fail	0.0	warn	151.0	58371756.0	pass	pass	151.0	42.0	pass
39-NEB-10ng-3_S7_L004_R1_001	39-NEB-10ng-3_S7_L004_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	92.20605722548282	fail	0.0	warn	151.0	57623638.0	pass	pass	151.0	42.0	pass
39-NEB-10ng-3_S7_L004_R2_001	39-NEB-10ng-3_S7_L004_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	92.80573930999459	fail	0.0	warn	151.0	57623638.0	pass	pass	151.0	42.0	pass
4-Swift2S-100ng-4_S8_L005_R1_001	4-Swift2S-100ng-4_S8_L005_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	91.17704481381895	fail	0.0	warn	151.0	52765214.0	pass	pass	151.0	41.0	pass
4-Swift2S-100ng-4_S8_L005_R2_001	4-Swift2S-100ng-4_S8_L005_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	91.85037212113778	fail	0.0	warn	151.0	52765214.0	pass	pass	151.0	41.0	pass
4-Swift2S-100ng-4_S8_L006_R1_001	4-Swift2S-100ng-4_S8_L006_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	91.50221121265115	pass	0.0	warn	151.0	53640073.0	pass	pass	151.0	41.0	pass
4-Swift2S-100ng-4_S8_L006_R2_001	4-Swift2S-100ng-4_S8_L006_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	92.25750221034521	fail	0.0	warn	151.0	53640073.0	pass	pass	151.0	41.0	pass
4-Swift2S-100ng-4_S8_L007_R1_001	4-Swift2S-100ng-4_S8_L007_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	92.3186528517463	fail	0.0	warn	151.0	52569441.0	pass	pass	151.0	41.0	pass
4-Swift2S-100ng-4_S8_L007_R2_001	4-Swift2S-100ng-4_S8_L007_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	93.53278571364875	fail	0.0	warn	151.0	52569441.0	pass	pass	151.0	41.0	pass
4-Swift2S-100ng-4_S8_L008_R1_001	4-Swift2S-100ng-4_S8_L008_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	92.65645583004539	fail	0.0	warn	151.0	53138532.0	pass	pass	151.0	41.0	pass
4-Swift2S-100ng-4_S8_L008_R2_001	4-Swift2S-100ng-4_S8_L008_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	92.84342649770451	fail	0.0	warn	151.0	53138532.0	pass	pass	151.0	41.0	pass
40-NEB-10ng-4_S8_L001_R1_001	40-NEB-10ng-4_S8_L001_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	fail	Sanger / Illumina 1.9	fail	92.20397722849556	fail	0.0	warn	151.0	51032293.0	pass	pass	151.0	42.0	pass
40-NEB-10ng-4_S8_L001_R2_001	40-NEB-10ng-4_S8_L001_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	93.83948249330363	fail	0.0	warn	151.0	51032293.0	pass	pass	151.0	42.0	pass
40-NEB-10ng-4_S8_L002_R1_001	40-NEB-10ng-4_S8_L002_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	92.46296181676378	fail	0.0	warn	151.0	50523278.0	pass	pass	151.0	42.0	pass
40-NEB-10ng-4_S8_L002_R2_001	40-NEB-10ng-4_S8_L002_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	93.90024903114626	fail	0.0	warn	151.0	50523278.0	pass	pass	151.0	42.0	pass
40-NEB-10ng-4_S8_L003_R1_001	40-NEB-10ng-4_S8_L003_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	92.48742328688483	fail	0.0	warn	151.0	52079851.0	pass	pass	151.0	42.0	pass
40-NEB-10ng-4_S8_L003_R2_001	40-NEB-10ng-4_S8_L003_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	93.42150095476892	fail	0.0	warn	151.0	52079851.0	pass	pass	151.0	42.0	pass
40-NEB-10ng-4_S8_L004_R1_001	40-NEB-10ng-4_S8_L004_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	91.87274690607182	fail	0.0	warn	151.0	51612451.0	pass	pass	151.0	42.0	pass
40-NEB-10ng-4_S8_L004_R2_001	40-NEB-10ng-4_S8_L004_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	92.48832469168018	fail	0.0	warn	151.0	51612451.0	pass	pass	151.0	42.0	pass
5-Swift2S-10ng-1_S12_L005_R1_001	5-Swift2S-10ng-1_S12_L005_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	88.42937404606953	fail	0.0	warn	151.0	48679800.0	pass	pass	151.0	40.0	pass
5-Swift2S-10ng-1_S12_L005_R2_001	5-Swift2S-10ng-1_S12_L005_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	90.0485150783403	fail	0.0	warn	151.0	48679800.0	pass	pass	151.0	40.0	pass
5-Swift2S-10ng-1_S12_L006_R1_001	5-Swift2S-10ng-1_S12_L006_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	89.15310554013749	fail	0.0	warn	151.0	46534099.0	pass	pass	151.0	40.0	pass
5-Swift2S-10ng-1_S12_L006_R2_001	5-Swift2S-10ng-1_S12_L006_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	90.5019581506333	fail	0.0	warn	151.0	46534099.0	pass	pass	151.0	40.0	pass
5-Swift2S-10ng-1_S12_L007_R1_001	5-Swift2S-10ng-1_S12_L007_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	pass	89.75435261302881	fail	0.0	warn	151.0	48519039.0	pass	pass	151.0	40.0	pass
5-Swift2S-10ng-1_S12_L007_R2_001	5-Swift2S-10ng-1_S12_L007_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	92.08186997010964	fail	0.0	warn	151.0	48519039.0	pass	pass	151.0	40.0	pass
5-Swift2S-10ng-1_S12_L008_R1_001	5-Swift2S-10ng-1_S12_L008_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	pass	90.33577523786124	fail	0.0	warn	151.0	43291938.0	pass	pass	151.0	40.0	pass
5-Swift2S-10ng-1_S12_L008_R2_001	5-Swift2S-10ng-1_S12_L008_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	91.24264359073979	fail	0.0	warn	151.0	43291938.0	pass	pass	151.0	40.0	pass
